Rank,Book-Title,Book-Author,
1,Alice's Adventures in Wonderland,Lewis Carroll,
2,The Scarlet Letter,Nathaniel Hawthorne,
3,A Christmas Carol,Charles Dickens,
4,Oliver Twist,Charles Dickens,
5,Uncle Tom's Cabin,Harriet Beecher Stowe,
6,The Return of the King,J.R.R. Tolkien,
7,Dracula,Bram Stoker,
8,The Secret Garden,Frances Hodgson Burnett,
9,The Little Prince,Antoine de Saint-Exupï¿½ry,
10,Harry Potter and the Sorcerer's Stone,J.K. Rowling,
11,Harry Potter and the Chamber of Secrets,J.K. Rowling,
12,Harry Potter and the Prisoner of the Azkaban,J.K. Rowling,
13,Harry Potter and the Goblet of Fire,J.K. Rowling,
14,Harry Potter and the Order of the Phoenix,J.K. Rowling,
15,Harry Potter and the Deathly Hallows,J.K. Rowling,
16,Heidi,Johanna Spyri,
17,The Complete Sherlock Holmes,Arthur Conan Doyle,
18,Pinocchio,Carlo Collodi,
19,Black Beauty,Anna Sewell,
20,Peter Pan,J.M. Barrie,
21,Lord of the Files,William Golding,
22,The Stranger,Albert Camus,
23,Rebecca,Daphne Du Maurier,
24,Twilight,Stephenie Meyer,
25,Nicholas Nickleby,Charles Dickens,
26,Robinson Crusoe,Daniel Defoe,
